Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
ABIO;"ПАО ""Артген""";ао;1-01-08902-A;92 645 451;100,96;9 353 484 732,96;;;;
ABRD;"ПАО ""Абрау – Дюрсо""";ао;1-02-12500-A;98 000 184;214;20 972 039 376,00;;;;
ACKO;"ПАО ""АСКО""";ао;1-01-52065-Z;536 000 000;;;;;;
AFKS;"ПАО АФК ""СИСТЕМА""";ао;1-05-01669-A;9 650 000 000;16,558;159 784 700 000,00;;;;
AFLT;"ПАО ""Аэрофлот""";ао;1-01-00010-A;3 975 771 215;55,13;219 184 267 082,95;;;;
AKRN;"ПАО ""Акрон""";ао;1-03-00207-A;36 757 156;15972;587 085 295 632,00;;;;
ALRS;"АК ""АЛРОСА"" (ПАО)";ао;1-03-40046-N;7 364 965 630;55,48;408 608 293 152,40;;;;
AMEZ;"ПАО ""Ашинский метзавод""";ао;1-03-45219-D;498 454 822;97,38;48 539 530 566,36;;;;
APRI;"ПАО ""АПРИ""";ао;1-01-12464-K;1 115 439 217;10,567;11 786 846 206,04;;;;
APTK;"ПАО ""Аптечная сеть 36,6""";ао;1-01-07335-A;7 630 433 826;11,776;89 855 988 734,98;;;;
AQUA;"ПАО ""ИНАРКТИКА""";ао;1-01-04461-D;87 876 649;664,5;58 394 033 260,50;;;;
ARSA;"ПАО ""УК ""Арсагера""";ао;1-01-03163-D;123 817 165;12,36;1 530 380 159,40;;;;
ASSB;"ПАО ""Астраханская энергосбытовая компания""";ао;1-01-55064-E;773 900 078;2,32;1 795 448 180,96;;;;
ASTR;ПАО Группа Астра;ао;1-01-01286-G;210 000 000;564,8;118 608 000 000,00;;;;
AVAN;"ПАО АКБ ""АВАНГАРД""";ао;10102879B;80 700 000;802;64 721 400 000,00;;;;
BANE;"ПАО АНК ""Башнефть""";ао;1-01-00013-A;147 846 489;2505,5;370 429 378 189,50;;;;
BANEP;"ПАО АНК ""Башнефть""";ап;2-01-00013-A;29 788 012;1326;39 498 903 912,00;;;;
BELU;"ПАО ""НоваБев Групп""";ао;1-01-55052-E;15 800 000;680;10 744 000 000,00;;;;
BISVP;"ПАО ""Башинформсвязь""";ап;2-01-00011-A;36 165 270;10,14;366 715 837,80;;;;
BLNG;"ОАО ""Белон""";ао;1-06-10167-F;1 150 000 000;21,6;24 840 000 000,00;;;;
BRZL;"ПАО ""Бурятзолото""";ао;1-06-20577-F;7 027 270;1945;13 668 040 150,00;;;;
BSPB;"ПАО ""Банк ""Санкт-Петербург""";ао;10300436B;457 544 031;379,61;173 688 289 607,91;;;;
BSPBP;"ПАО ""Банк ""Санкт-Петербург""";ап;20100436B;20 100 000;54,1;1 087 410 000,00;;;;
